picc, Fl;
fl, Fl;
alfl, Fl;
bfl, Fl;
cbfl, Fl;
ob, Ob;
obam, Ob;
eh, Ob;
heck, Ob;
piclab, Cl;
cleb, Cl;
picld, Cl;
clc, Cl;
clbb, Cl;
cla, Cl;
bsthn, Cl;
alcleb, Cl;
bclbb, Cl;
bcla, Cl;
ctalcleb, Cl;
cbclbb, Cl;
bn, Bn;
cbn, Bn;
sosax, Sax;
asax, Sax;
tnsax, Sax;
barsax, Sax;
bssax, Sax;
cbsax, Sax;
hn, Hn;
pitpbb, Tp;
pitpa, Tp;
hgtpf, Tp;
hgtpeb, Tp;
hgtpd, Tp;
cnteb, Tp;
tpc, Tp;
tpbb, Tp;
cntbb, Tp;
altpf, Tp;
bstpeb, Tp;
bstpc, Tp;
bstpbb, Tp;
altbn, Tbn;
ttmb, Tbn;
tbn, Tbn;
ttbn, Tbn;
btbn, Tbn;
cbtbn, Tbn;
cbtb, Tb;
eup, Tb;
btb, Tb;
cbtb, Tb;
flg, Tb;
acc, Acc;
harp, Hp;
pn, Pf;
cel, Cel;
hpscd, Hps;
hp, Hp;
gtr, Gtr;
mdl, Gtr;
vn, Vn;
vns, Vn;
va, Va;
vas, Va;
vc, Vc;
vcs, Vc;
cb, Cb;
cbs, Cb;
db, Cb;
dbs, Cb;
